1,В какой стране есть остров Java?,1,Малайзия,false
1,В какой стране есть остров Java?,2,Индонезия,true
1,В какой стране есть остров Java?,3,Индия,false
2,Какой язык программирования запускается в JVM?,4,Java,true
2,Какой язык программирования запускается в JVM?,5,JavaScript,false
2,Какой язык программирования запускается в JVM?,6,Python,false
3,Как называется самый популярный фреймворк на языке Java?,7,Winter,false
3,Как называется самый популярный фреймворк на языке Java?,8,Summer,false
3,Как называется самый популярный фреймворк на языке Java?,9,Spring,true
4,Что изображено на логотипе Java?,10,Чашка чая,false
4,Что изображено на логотипе Java?,11,Стакан молока,false
4,Что изображено на логотипе Java?,12,Чашка кофе,true
5,Какое слово не относится к зарезервированным словам Java?,13,Final,false
5,Какое слово не относится к зарезервированным словам Java?,14,Finish,true
5,Какое слово не относится к зарезервированным словам Java?,15,Finally,false
